student_id,student_name,age,grade,math_score,science_score,admission_date
60,Arun,,PASS,200,40,2019-02-27
118,Arun,-5,a,90,95,01-19-2018
123,Ajay,15,D,,102,2021/07/26
426,Arun,-5,PASS,,102,08-14-2016
52,Arun,200,PASS,90,-3,05/09/2020
521,Preethi,15,F,200,,09/07/2018
565,Lokesh,17,F,-10,40,2018/11/24
209,Sneha,200,A,45,88,2017-03-18
577,Ajay,18,fail,85,40,12-26-2018
553,Preethi,18,a,85,-3,06-02-2021
427,Lokesh,,fail,-10,95,04-Jun-2016
412,Arun,15,b,90,95,2016/02/09
551,Preethi,17,A,90,,20/02/2017
224,Sneha,15,PASS,45,88,2021-06-02
256,,15,a,,95,2016-18-06
559,Preethi,18,a,-10,,13-Mar-2016
152,Ajay,200,C,,102,05-02-2017
412,,,A,90,95,09-Jul-2019
100,Arun,15,b,-10,,25-Oct-2016
531,,200,PASS,85,40,2019/11/11
340,Arun,,fail,85,95,2022/10/26
321,Preethi,18,D,-10,,2019/02/17
286,Preethi,-5,a,45,40,10/03/2016
334,Arun,17,fail,-10,95,2023/09/15
290,Arun,200,PASS,-10,95,06/11/2015
435,,17,b,200,95,2021-02-12
305,Ajay,17,F,85,40,2022/05/18
18,Preethi,18,fail,85,,2021/10/18
131,Preethi,17,a,-10,88,11/09/2017
216,Ajay,15,C,85,95,2023/11/03
256,Sneha,18,D,85,95,2016-14-03
200,Lokesh,,C,-10,95,12-12-2022
340,Arun,18,b,200,40,2019-14-04
10,Lokesh,15,PASS,200,,2015-26-12
183,Sneha,15,PASS,45,88,2015-07-25
596,Sneha,16,a,90,95,27-Jul-2016
229,Sneha,18,F,,95,2022-09-09
323,Preethi,18,PASS,45,40,2015/11/28
487,Lokesh,15,A,-10,95,2019-27-03
481,Arun,15,A,-10,,22/02/2020
328,Sneha,-5,PASS,200,102,2017-12-12
142,Preethi,16,F,45,,2016/12/31
526,Ajay,,D,90,102,2022-19-02
561,,,C,90,95,22/10/2019
142,Ajay,18,A,200,,2015-16-09
49,Sneha,16,b,45,-3,2018-06-03
375,Ajay,200,b,200,40,30-Aug-2023
236,Arun,16,D,90,,09-21-2021
174,Arun,,fail,200,-3,2020-24-02
378,Arun,,fail,45,-3,2021-02-25
64,,-5,B,200,88,20/01/2023
332,Preethi,18,D,,102,2015-07-28
452,,-5,C,45,102,21-Jul-2022
378,,18,PASS,,-3,2023/06/23
379,Sneha,200,fail,45,,2022-02-11
60,Arun,-5,PASS,-10,-3,02-27-2023
409,Lokesh,200,PASS,-10,102,2020-01-03
285,Arun,17,B,45,95,07-Feb-2019
567,Arun,18,b,85,,2020-09-19
101,Lokesh,18,b,200,88,2019-12-30
258,,200,F,45,-3,08-17-2015
364,Sneha,18,PASS,-10,-3,12-15-2018
354,Lokesh,200,b,,102,2023/02/21
144,Sneha,200,C,90,-3,2018/03/02
207,Arun,-5,PASS,90,40,07-25-2016
338,Sneha,17,B,200,-3,11-07-2018
463,Sneha,18,a,90,-3,2019-01-14
41,Ajay,17,B,-10,95,07-20-2021
392,Sneha,-5,b,200,-3,2021-25-04
435,Lokesh,15,PASS,45,40,07-31-2022
142,Arun,200,D,200,95,11-27-2017
70,Arun,,F,85,,2023/08/23
266,Ajay,-5,B,90,95,2016-03-08
480,Preethi,,A,-10,88,2022/11/06
505,Arun,18,D,,,29-Jun-2015
168,Preethi,16,a,-10,95,12-29-2019
582,,-5,b,45,40,12-Sep-2021
219,Sneha,200,a,-10,88,04-16-2015
228,Ajay,,F,45,,20-Feb-2015
142,Ajay,-5,a,,88,25/11/2019
195,Arun,,PASS,,88,29/03/2017
189,Sneha,15,PASS,85,-3,01-24-2021
556,Sneha,18,D,-10,95,2021/08/27
288,Ajay,18,PASS,,-3,2022-12-08
93,Ajay,,a,200,88,2016-18-11
491,Ajay,18,PASS,,95,2018-02-11
414,Lokesh,,D,85,102,09-17-2015
397,Lokesh,16,b,,,11-Nov-2017
110,Lokesh,-5,fail,45,88,05/10/2019
236,Arun,200,fail,-10,95,26-Aug-2016
125,Preethi,16,fail,200,40,14/03/2015
210,Arun,17,fail,-10,40,07-28-2021
138,Lokesh,18,A,85,40,16/03/2017
505,,-5,PASS,-10,,2018-07-10
521,Preethi,15,D,85,88,2017-31-08
66,Preethi,17,b,200,,04/12/2022
460,,-5,F,,102,2018-15-11
322,,200,PASS,90,,27/02/2015
324,Lokesh,18,C,200,-3,2020-12-13
218,Arun,-5,a,45,40,03-23-2015
271,Ajay,17,C,85,,2023-01-11
461,,,F,45,40,2021/03/11
330,Ajay,18,F,,95,08-Nov-2015
23,Ajay,,F,85,88,2022-10-10
429,Ajay,200,fail,90,102,2019/01/10
234,Arun,16,b,85,88,09-27-2019
590,,16,PASS,45,88,06/06/2017
262,Ajay,200,D,45,102,2015-09-06
224,Ajay,200,C,-10,,10-18-2022
104,Preethi,15,a,-10,88,12-25-2021
365,Preethi,16,F,200,-3,2015-09-20
253,Ajay,18,PASS,90,102,07-16-2019
370,Lokesh,,PASS,90,,17-Dec-2021
56,Preethi,15,D,-10,40,2016-23-01
259,Preethi,18,A,90,95,20/04/2022
411,Sneha,15,b,90,40,21-May-2016
135,Ajay,200,F,,40,09-Jan-2015
5,Preethi,16,C,,40,26-Nov-2020
75,Ajay,18,F,200,-3,2022-18-03
431,Ajay,18,A,-10,102,03-11-2019
116,Preethi,,B,85,95,26-Oct-2023
356,Preethi,15,fail,45,40,2023-09-10
358,Ajay,-5,fail,-10,-3,2016-11-05
429,Sneha,-5,C,85,102,2023-08-16
214,,200,b,,88,28-May-2016
357,Sneha,16,B,-10,95,22/03/2022
218,Sneha,17,PASS,200,88,2019/01/29
303,Lokesh,18,B,,,2020-04-12
292,Ajay,17,C,45,-3,2021/04/07
182,Arun,18,D,,-3,2015-04-14
505,,18,B,85,40,10-29-2021
197,Arun,18,D,90,102,2016/01/24
196,Arun,-5,PASS,45,88,2023-03-05
424,Arun,18,B,45,,2022-10-23
122,Arun,200,C,85,102,03-28-2018
427,Arun,17,D,45,102,11/07/2015
189,Sneha,200,A,85,88,2023-04-20
289,,16,D,,,2018-08-09
375,Lokesh,18,fail,200,-3,2017-21-01
135,,15,F,,-3,03-Mar-2016
497,Sneha,16,A,90,95,2019-22-11
367,Arun,-5,D,45,88,23-Feb-2017
547,Preethi,,F,200,88,08-06-2020
184,Lokesh,18,F,-10,-3,21/07/2015
288,Arun,18,A,45,,12-24-2019
339,Ajay,,C,200,40,02-18-2017
51,,16,F,45,40,01-13-2023
248,Ajay,15,fail,85,,01-06-2020
168,Sneha,16,PASS,200,-3,10-Mar-2023
127,,-5,D,85,102,13-Feb-2015
251,Lokesh,-5,A,90,40,2020/12/20
215,Ajay,15,F,200,88,13/10/2016
145,,-5,D,45,40,2020-11-09
465,Arun,18,A,85,40,2019-02-03
510,Ajay,17,D,85,95,10-Dec-2019
12,Sneha,15,A,45,95,07-14-2022
523,Sneha,-5,b,90,40,29-Nov-2018
44,Lokesh,,fail,-10,40,2021/03/21
587,Sneha,16,D,200,,05-25-2015
402,Sneha,15,PASS,45,-3,07-08-2020
342,Lokesh,,D,45,-3,23-Jul-2019
14,Sneha,15,PASS,200,,2018-22-07
432,Preethi,15,D,-10,40,2015/06/04
523,Preethi,18,PASS,-10,40,26-Dec-2020
549,Ajay,18,a,45,40,24-Dec-2015
31,Sneha,18,fail,90,95,24/10/2023
483,Arun,15,a,,95,2018-07-04
124,,18,PASS,200,,2021-02-07
211,Ajay,16,D,45,-3,05/05/2023
140,Preethi,16,A,85,102,07-Jul-2023
78,Sneha,18,fail,200,102,16-Feb-2021
592,Sneha,18,PASS,85,95,2020-06-16
12,Preethi,200,a,200,95,24/08/2021
501,Preethi,15,fail,85,88,25/06/2021
354,Ajay,18,b,200,88,2021-18-08
179,Arun,17,D,,40,10/03/2018
512,,15,A,,88,2017-11-09
487,Lokesh,18,fail,45,-3,25/11/2023
136,,200,D,90,40,2021-26-05
344,Ajay,17,b,85,-3,19/11/2016
540,Arun,15,fail,-10,88,06/06/2020
76,Ajay,17,fail,90,95,2019-03-09
135,,18,b,-10,102,2022-20-05
228,Sneha,200,a,-10,40,05-Aug-2015
297,Ajay,15,D,-10,-3,2015/04/16
202,Ajay,200,b,45,95,2015/09/28
131,Preethi,,D,90,40,2015-28-08
348,Lokesh,,fail,85,,2020-14-07
427,Ajay,,fail,200,88,2016-08-21
20,,17,fail,-10,,11-09-2018
564,Lokesh,15,b,45,,2021/03/08
399,Arun,17,a,-10,102,14-Oct-2017
589,Lokesh,200,b,-10,,2016/04/02
405,Arun,17,A,90,102,2020-01-06
440,Arun,16,fail,-10,102,05-28-2021
344,Sneha,18,C,45,,26-Aug-2020
7,Lokesh,18,C,45,40,2016-28-05
145,Lokesh,16,b,-10,102,20/11/2023
440,Sneha,18,D,85,-3,06/09/2021
504,Sneha,200,PASS,-10,95,2015-25-02
155,,18,b,90,95,2021-29-06
50,Preethi,18,C,90,40,04/10/2022
38,Lokesh,-5,D,85,-3,05-02-2016
23,,18,b,-10,-3,21/08/2016
592,Lokesh,15,C,85,95,2017-17-08
137,Sneha,-5,F,45,88,09-17-2018
83,Preethi,18,B,-10,,03-29-2017
218,Preethi,17,b,90,,2015-05-14
470,Arun,200,A,,40,2021-04-07
377,Ajay,,C,90,-3,05-01-2015
490,Sneha,17,A,200,102,2018/12/18
254,Sneha,18,D,,-3,13-May-2020
118,Lokesh,18,C,85,40,04-24-2017
146,Preethi,-5,a,-10,,19-Dec-2018
150,Preethi,18,D,-10,,2016-31-07
546,,17,A,45,102,04-24-2023
273,Ajay,17,fail,,40,09-19-2020
427,Sneha,18,F,85,88,06/06/2023
486,Arun,-5,D,-10,40,2017-11-12
266,,-5,fail,,-3,22/10/2019
402,Ajay,17,a,90,,2020-27-11
496,,-5,D,,,2021-15-05
140,Ajay,15,A,85,40,29/03/2016
247,Arun,200,D,,95,2021/04/06
110,Sneha,18,F,200,102,2019-09-03
523,Sneha,200,B,85,88,2022-01-16
375,Arun,18,a,200,102,08-30-2019
408,Preethi,200,a,200,,2018/01/24
190,,-5,B,45,102,18/07/2023
202,Preethi,200,C,-10,95,16-Mar-2018
480,,-5,B,90,95,2016-06-29
501,Arun,-5,B,,-3,01-08-2016
16,Ajay,-5,fail,-10,88,2019/11/12
114,Preethi,15,PASS,45,-3,2018-08-03
54,,17,F,-10,40,28/04/2017
360,Arun,18,b,-10,40,04-24-2021
236,Lokesh,17,A,85,,2019-20-02
19,Lokesh,,PASS,45,88,2021-06-06
283,Preethi,15,b,200,102,2019-07-25
498,Preethi,16,B,-10,,12-02-2019
49,Lokesh,17,C,,-3,2019-07-13
315,Arun,,B,85,,2021-27-09
31,,-5,a,90,,18/02/2019
448,Sneha,17,PASS,90,40,08/11/2015
539,Lokesh,17,PASS,85,88,2023-01-24
582,Arun,200,b,200,102,22/01/2022
126,Ajay,200,B,90,88,06-05-2022
122,Preethi,17,fail,85,88,2020-19-08
573,Sneha,-5,fail,,95,2019-10-06
504,Ajay,200,F,-10,,2022-12-01
11,Preethi,15,A,200,-3,02-Jan-2016
139,Preethi,200,F,45,-3,2017-25-06
285,Lokesh,17,b,-10,88,01-May-2022
501,Sneha,16,b,45,,12/07/2021
376,,,A,-10,88,2019-11-18
522,Sneha,16,C,45,95,2020-30-06
446,Ajay,17,F,-10,40,12-Oct-2021
5,Lokesh,18,b,85,40,2018/06/20
468,Arun,18,B,85,88,10-05-2015
232,Ajay,200,B,-10,95,07-28-2015
51,Lokesh,,B,,88,2018-01-26
111,Ajay,16,PASS,90,88,01/05/2019
278,,18,F,200,102,20/01/2023
536,Ajay,17,A,,40,25/12/2017
454,Sneha,200,D,,88,17-Nov-2019
310,Lokesh,-5,fail,-10,88,26-Mar-2018
555,Ajay,200,a,90,-3,2021/02/21
211,,-5,F,200,102,2021-12-23
595,Lokesh,-5,PASS,85,40,2017/07/22
111,Sneha,16,F,-10,,02-21-2022
405,Ajay,17,fail,,,2022-03-09
234,Lokesh,18,A,85,88,29/06/2022
149,Preethi,18,D,-10,88,2017-08-24
367,Lokesh,18,PASS,85,95,2018-17-02
255,Ajay,,A,90,,2022-09-02
74,Arun,-5,B,200,40,08-01-2021
516,Ajay,17,C,90,88,23/03/2023
401,Arun,,A,200,102,2021/09/29
254,Sneha,,F,-10,88,05-17-2017
183,Lokesh,200,A,-10,102,14-Oct-2016
535,Lokesh,16,A,200,40,07-Sep-2022
514,Lokesh,17,PASS,90,,2018-04-01
46,Preethi,200,D,,102,09-Apr-2020
450,Ajay,18,b,85,102,30/04/2023
356,Sneha,,A,-10,-3,2021-08-19
265,,18,A,85,,01-Aug-2021
458,Sneha,,b,85,-3,01-Apr-2023
89,,,B,90,88,14/09/2021
597,Sneha,16,a,-10,-3,07/04/2022
228,Lokesh,200,C,200,95,2019-20-07
371,,200,PASS,200,95,09-Sep-2021
67,Lokesh,18,B,45,88,27-Jan-2017
206,Lokesh,18,a,45,,2023/03/20
296,,-5,C,,95,02/11/2018
386,Preethi,17,F,,102,13-Apr-2018
480,Preethi,17,A,45,-3,17-Feb-2015
35,,,B,45,-3,2016-03-15
61,Preethi,-5,D,90,-3,01-Jan-2018
132,Preethi,200,A,90,-3,11-Jun-2020
11,Lokesh,17,C,-10,,21/06/2015
545,Preethi,18,F,45,40,04-Jan-2015
432,Sneha,18,A,85,102,2018-01-19
31,Arun,200,a,45,88,03-21-2022
337,,-5,C,,88,02/01/2015
213,,16,F,200,40,2022/06/27
285,Ajay,17,fail,,102,2020-20-02
433,Lokesh,17,fail,,95,07-25-2017
594,Lokesh,18,A,-10,95,12-22-2015
561,Ajay,15,b,90,102,2021-07-25
138,Ajay,,a,,102,09-11-2023
203,Arun,16,B,45,102,2022-06-20
522,Ajay,17,B,45,102,04-Mar-2019
46,,18,F,-10,-3,2020-07-11
532,Sneha,200,D,-10,40,2019/11/01
211,Arun,200,a,90,,2021-09-12
411,Arun,200,fail,45,,24/10/2022
307,Sneha,,D,45,40,2017-12-06
514,Lokesh,-5,D,45,88,2020-11-08
133,,18,D,-10,88,21-Sep-2016
137,Sneha,,B,,102,2018/06/22
368,Lokesh,,B,,,16/06/2023
351,Lokesh,17,a,200,88,14-Apr-2015
189,,200,PASS,45,88,01-29-2023
235,Sneha,17,A,200,88,17-Oct-2017
159,Lokesh,18,C,90,-3,2023/08/10
279,Ajay,-5,fail,85,-3,2015/08/15
121,Arun,16,PASS,,-3,2016-05-19
459,Preethi,15,C,-10,,04/02/2021
492,,-5,F,90,,2023/11/07
184,Sneha,18,a,90,,09-14-2018
519,Preethi,-5,C,-10,88,02-22-2022
496,Ajay,15,B,45,,2018-25-11
368,Arun,15,a,45,88,2015-01-09
328,Arun,200,D,,102,08-06-2019
577,Sneha,,D,-10,40,27-Mar-2015
120,Lokesh,,PASS,,88,07/03/2021
255,Arun,18,b,45,95,2021-27-11
403,Ajay,,b,45,102,15-Jun-2016
135,Lokesh,18,D,,,21-Jul-2021
519,,18,B,,88,2022/09/19
173,Ajay,16,b,45,,17-May-2021
521,Lokesh,18,D,200,88,01/01/2022
549,Ajay,16,C,,,30/03/2022
169,Arun,16,A,45,88,2022-20-09
398,Preethi,18,B,85,40,17-Jun-2015
448,Ajay,17,C,85,102,26/09/2019
538,Preethi,16,B,85,,2022-11-08
486,,200,B,45,88,27/12/2017
41,Sneha,-5,B,85,102,19-Jun-2017
438,Lokesh,16,F,90,40,2019-14-10
316,Sneha,16,F,85,,07/05/2017
418,Preethi,18,b,45,,25/02/2016
358,Preethi,18,F,-10,102,2019-12-21
165,Lokesh,18,B,-10,40,2017/09/10
500,Arun,200,PASS,90,40,2023-04-02
487,Lokesh,200,A,85,40,2019-07-03
353,Arun,-5,A,90,-3,2017-03-23
151,Preethi,17,B,85,40,27/10/2021
219,Ajay,16,B,90,,2016-02-04
208,Sneha,,D,-10,88,08-20-2023
576,Sneha,15,a,90,,01-05-2020
231,Sneha,-5,A,200,95,18-Aug-2023
137,Lokesh,15,b,200,88,2019-09-16
580,Sneha,200,b,-10,40,12-06-2022
32,Ajay,200,A,-10,88,2018-01-23
285,Preethi,18,C,85,95,12/03/2016
353,Preethi,18,a,-10,102,25-Jul-2015
29,Arun,18,B,85,95,2021/10/17
472,Ajay,-5,F,45,40,2021-05-02
43,Lokesh,-5,F,90,88,2021/05/09
104,Preethi,17,B,200,95,14/02/2018
535,Lokesh,16,A,45,,07/03/2018
395,Lokesh,16,PASS,-10,95,2015/10/06
142,Sneha,15,A,85,-3,24/08/2019
451,Lokesh,-5,D,90,,05-14-2015
346,Lokesh,200,b,200,88,27/03/2016
359,Ajay,200,D,90,,2020/11/22
497,Ajay,15,PASS,200,102,2018-29-11
92,Arun,18,B,85,40,09/02/2023
440,Preethi,16,fail,90,40,2022-29-04
397,,-5,C,,88,2021/04/16
132,,15,a,200,-3,2023/10/25
414,Ajay,-5,F,-10,,06/03/2020
564,Lokesh,18,fail,85,102,2017-12-06
159,Ajay,200,A,200,102,06-20-2018
502,Lokesh,17,fail,,95,17-Jan-2022
100,Lokesh,18,fail,,102,04-26-2020
406,Sneha,18,A,,40,05/04/2015
98,Ajay,,F,,40,04/01/2021
237,,16,D,200,95,2018-16-07
327,Sneha,17,D,200,40,2021/09/05
142,Arun,200,B,-10,102,29-Dec-2020
